Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35031,NIFTY 27 MAR 2025 CE 29050.00,2025-03-27,CE,29050,NIFTY 27 MAR 2025 CE 29050.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 27 MAR 2025 CE 29050.00_20250327_CE_29050,XX
N,D,35032,FINNIFTY 27 MAR 2025 PE 19350.00,2025-03-27,PE,19350,FINNIFTY 27 MAR 2025 PE 19350.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 PE 19350.00_20250327_PE_19350,XX
N,D,35033,FINNIFTY 29 MAY 2025 CE 17100.00,2025-05-29,CE,17100,FINNIFTY 29 MAY 2025 CE 17100.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 29 MAY 2025 CE 17100.00_20250529_CE_17100,XX
N,D,35034,FINNIFTY 24 APR 2025 CE 29200.00,2025-04-24,CE,29200,FINNIFTY 24 APR 2025 CE 29200.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 24 APR 2025 CE 29200.00_20250424_CE_29200,XX
N,D,35035,FINNIFTY 24 APR 2025 PE 29200.00,2025-04-24,PE,29200,FINNIFTY 24 APR 2025 PE 29200.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 24 APR 2025 PE 29200.00_20250424_PE_29200,XX
N,D,35036,FINNIFTY 29 MAY 2025 PE 17100.00,2025-05-29,PE,17100,FINNIFTY 29 MAY 2025 PE 17100.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 29 MAY 2025 PE 17100.00_20250529_PE_17100,XX
N,D,35037,MIDCPNIFTY 27 MAR 2025 CE 6300.00,2025-03-27,CE,6300,MIDCPNIFTY 27 MAR 2025 CE 6300.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 6300.00_20250327_CE_6300,XX
N,D,35038,MIDCPNIFTY 27 MAR 2025 PE 6300.00,2025-03-27,PE,6300,MIDCPNIFTY 27 MAR 2025 PE 6300.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 6300.00_20250327_PE_6300,XX
N,D,35039,MIDCPNIFTY 27 MAR 2025 CE 6400.00,2025-03-27,CE,6400,MIDCPNIFTY 27 MAR 2025 CE 6400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 6400.00_20250327_CE_6400,XX
N,D,35040,MIDCPNIFTY 27 MAR 2025 PE 6400.00,2025-03-27,PE,6400,MIDCPNIFTY 27 MAR 2025 PE 6400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 6400.00_20250327_PE_6400,XX
N,D,35041,MIDCPNIFTY 27 MAR 2025 CE 8525.00,2025-03-27,CE,8525,MIDCPNIFTY 27 MAR 2025 CE 8525.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8525.00_20250327_CE_8525,XX
N,D,35042,MIDCPNIFTY 24 APR 2025 CE 14075.00,2025-04-24,CE,14075,MIDCPNIFTY 24 APR 2025 CE 14075.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 14075.00_20250424_CE_14075,XX
